full_text,compound,polarity
Owabong Bangun 22 Huntara bagi Korban Gempa Palu https://t.co/P2dFcOuvUx,-2,negative
Merasakan gempa pada saat tidur itu bangun kayak masih kaget antara beneran atau mimpi. Trauma setelah itu jadi parnoan mau kembali masuk ke kamar. Nggak kebayang perasaan teman2 di Lombok dan palu .,-3,negative
@sendyarn93 Semoga gaada gempa Yang lain ya neng Tuhan menyertai Indonesia Aku yg di bali aja pas gempa goyang Lumayan.. Udah kerasa ngeri apalagi yang di lombok palu dll yg kerasa sangat keras ,-2,negative
@ZanovSyah @ebugogo2periode @gufronsyahbana @rockygerung @apaijali @AkunTofa @budimandjatmiko @Fahrihamzah @Dahnilanzar Kl lo mau bahas RS gw males ladenin Wong udh dipegang sm polisi koq kasusnya Coba cari ide yg lain bong ... Yg lbh manfaat Kan ada tuh kondisi dolar yg udh diatas 15rb Penanganan gempa lombok at palu Sekali2 kita cobalah care sm sodara2 kita yg lg kena musibah,-1,negative
Tolong lah rek gempa itu bencana. Kita masih berduka sama apa yg terjadi di Lombok &amp; Palu tolong jangan dibuat bercandaan. Gak lucu!,-2,negative
Gila sih sejak lombok gempa palu dll kalo lagi diem terus aku suka pusing sendiri kirain gempa padahal di jkt. Tapi setiap kali aku pusing muncul notif bmkg... Ini badan gue peka bgt apa gimana td juga pusing eh taunya gempa ya di jatim,-5,negative
Wah efek gempa di mana2. Jadi parno banget. Baru kali ini takut banget begitu ada gempa. Langsung loncat dari kasur turun tangga keluar rumah. Gimana yang di Palu dan Lombok yang parah begituu ,-21,negative
Sya respect bgt sama korban korban bencana gempa Lombok Palu dan lainnya. #Gempa ini gak seberapa dibanding mereka. Ini bener bener...... Ya Allah...,-4,negative
Membantu korban gempa Palu jangan cuma sekali tapi rutin minimal sekali seminggu sampai kondisi benar2 pulih. Dan juga jangan lupakan Lombok yang masih belum sepenuhnya normal.,-23,negative
Membaca puisi untuk Palu Donggala Sigi dan daerah-daerah yang terkena gempa dan tsunami pada Malam Kebudayaan dalam Road to Hari Santri 2018 di @pondokkrapyak Yogyakarta malam tadi. https://t.co/Ybn28rfb2o,-5,negative
@P3nj3l4j4h @1_devout @herlambang_tan @jiiviiew iya juga yaa min..kriminalisasi ulama nuduh pa jkw..pas visa expired minta tlg pa jkw. nda skalian aza gempa palu gara pa jkw bagi in sertifikst tanah trs sampe gempa kna azab gt ,-13,negative
Setelah gempa palu selalu ngestalk hampir semua medsosnya. Terus baru aja ngestalk fbnya dia bikin status dia baik2 aja malah jadi relawan disana. Alhamdulillah ,-12,negative
Cerita Giyono Orang Jawa yang Terdampak Gempa Palu https://t.co/0WRyPrv8L5 via @ArrahmahID #nahdlatululama,-5,negative
Hai sahabat perempuan &amp; anak hari ini Mama Yo melakukan kunjungan dan berdialog langsung dgn masyarakat korban gempa di Palu. Beliau sangat sedih atas bencana yg melanda Palu serta menguatkan para korban utk tdk patah semangat &amp; tetap berjuang mempertahankan kehidupan kedepan. https://t.co/Vny3ZDOhOl,-17,negative
https://t.co/4A1B5NDT9U POLRES ENREKANG Kapolres Enrekang AKBP Ibrahim Aji S.Ik membesuk salah seorang korban Gempa Palu di RSU Massenrempulu. Kapolres Enrekang yang di dampingi Kabag OPS https://t.co/ay9SoZdZrZ,-13,negative
Ini alasan mengapa bantuan AS untuk korban gempa Palu disebut sangat kecil &gt;&gt; https://t.co/EGw8F8HuEg,-5,negative
Cerita Giyono Orang Jawa yang Terdampak Gempa Palu https://t.co/rSlQx7sCOY,-5,negative
Cerita Giyono Orang Jawa yang Terdampak Gempa Palu https://t.co/SfkRqj2ldm,-5,negative
(10/10) Disela - sela kegiatan Tim Kesehatan yang tergabung dalam Pos Kesehatan 119 Kab. Boyolali Sukarelawan PMI Teguh Widodo mengajak anak-anak korban Gempa &amp; Tsunami Palu dipengungsian https://t.co/PhGKnMavEP,-3,negative
KETOLOLAN yang gak pernah berhenti... Gempa Lombok seneng.. Gempa dan tsunami palu donggala seneng juga.. Eh BBM naik seneng lagi.... Dengan alasan akan banyak peluang menyerang pemerintah.... Dan menaikan citra calonya.... Miris!!!! Lo pada pindah aja deh di mars....,-1,negative
@Aryprasetyo85 @JsDeyz @enylove2 @AlvinoLulu @Dwiyana_DKM @Airin_NZ @INTANyk94 Kumpulin anak2 ke mesjid lalu diberikan tontonan mengensi gempa bumi di Palu dan Donggala lalu salahkan Jokowi apa itu salah ucap ??,-1,negative
Berbicara tentang empati dalam diri manusia. Kita lebih tau lebih bisa menilai kemudian meletakkan empati pada sesuatu yang pas. Dari sini empati kita seharusnya bisa lebih condong untuk korban gempa di Palu. Bukan begitu? #MataNajwaSatuatauDua,-13,negative
Maklumlah kalo cuma batal naik premium bencana gempa besar di Lombok dan Palu aja cuek mo mengharapkan integritas? Lho wong aksi tipu2 bohong dan gak adil ooh jagonya ,-9,negative
Yakali masa jatuh banyak korban di Palu disebabkan Jokowi? Disebabkan gempa lah. Mungkin si guru kurang piknik,-2,negative
Kunjungan Pangdam VI/Mulawarman Mayjen TNI Subiyanto di Poskotis Yonzipur 17/AD dan Posko Pengungsian Masyarakat daerah Petobo dan sekitarnya untuk menyalurkan bantuan makanan dan pengobatan traumatis kepada anak korban gempa di lapangan Desa Petobo Palu Rabu (10/10/2018) https://t.co/87apCIMPBO,-1,negative
TNI Bantu Air Bersih di Pengungsian Korban Gempa Palu https://t.co/6ykNHcqvId lewat @KORANBOGOR.com,-3,negative
Wali Kota Medan Drs. H. T. Dzulmi Eldin S MSi bersama sejumlah Wali Kota yang tergabung dalam Asosiasi Pemerintah Kota Seluruh Indonesia (APEKSI) memberikan bantuan kepada warga Kota Palu yang menjadi korban bencana alam gempa bumi dan tsunami Rabu (10/10). https://t.co/O1nA7ccq0U,-8,negative
Menteri Keuangan Turki Berat Albayrak yang terbang ke Palu langsung menyapa para korban gempa dan memberikan bantuan dari pemerintah Turki. Presiden Turki Erdogan sebelumnya mengatakan siap memberikan apapun yang dibutuhkan untuk membantu para korban https://t.co/XbO8xrXNTy,-6,negative
Gempa Palu kira-kira udah bisa jadi ukuran lah untuk apa yang bisa terjadi misal-misal ntar zombie apocalypse.,-6,negative
Gempa Bumi Palu - Atasi Krisis Air Minum Pengungsi Relawan FTI UMI Pasang 25 Mesin Pemurni air - Tribun Timur https://t.co/0FPwyOfEtK,-1,negative
Cerita teman saya seorang jurnalis yang meliput bencana gempa Palu. Percayalah masih banyak orang baik mama mas Fikrie salah satunya. Cepat bangkit Palu.,-9,negative
Jumat 28 September 2018 menjadi hari kelabu bagi warga Palu dan Donggala Sulawesi Tengah. Bencana Gempa dan tsunami yang melanda telah menelan banyak korban jiwa. . Tak hanya itu pasca https://t.co/mZ7B9sqUxF,-16,negative
Dan parahnya Gempa Palu dijadiin bahan utk menjatuhkan Jokowi dengan alasan Pemerintah gagal mencegah jatuhnya banyak korban. I mean hello r u fuckin stupid?? Wheres your fucking empathy? They know nothing and need help tje most and yet still they got dragged into your bullshit,-15,negative
Rasanya Aneh ketika @GunRomli bilang Ketika Gempa Palu yg datang pertama pak jokowi bukan prabowo Ya iyalah Pak!! Namanya Presiden ya datang duluan kalau pak Prabowo yg duluan nanti dibilang Kampanyelah pencitraan memanfaatkan keadaanlah - _- #MataNajwadiTRANS7,-8,negative
Semoga palu benar2 mendapat ujian bukan azab. Sudah tertimpa bencana alam kedatangan relawan yg asing maupun lokal ada yg di usir. Penjarahan saat gempa. Bantuan yang di jarah. Sungguh berbeza.,-7,negative
Salah satu tempat pengungsian warga korban bencana gempa yang mendapat bantuan air bersih dari TNI terletak di Jalan Veteran Kelurahan Tanah Modindi Kecamatan Mantikulores Kota Palu Rabu (10/10/2018). #TniPeduli #SigiDonggalaPaluBangkit,-12,negative
Pasca bencana alam gempa bumi 7 4 skala richter dan tsunami di Kota Palu Kabupaten Donggala dan Kabupaten Sigi Sulawesi Tengah pada Jumat 28 September 2018 lalu warga masyarakat yang berada di tempat pengungsian mulai kesulitan air bersih. #TniPeduli #SigiDonggalaPaluBangkit,-9,negative
Bagi yang muslim terutama yg di palu donggala. sigi. Lombok agar banyak membaca sholawat munjiyat 1.000 kali tiap hari/ malam dibaca sendiri ataubersama.InsyaAllah tdk akan gempa/bencana lagi.lakukan rutin tiap malam/minggu.,-1,negative
Pengalaman pemulihan sistem komunikasi penerbangan di Palu pada 28-29 September bisa dijadikan contoh untuk penanganan dalam kondisi darurat di bandara-bandara lain apabila terjadi bencana &gt;&gt; https://t.co/Ear32Mxzgl #SebarkanIndonesiaBaik #gempapalu,-14,negative
Meski pencarian korban gempa Palu akan dihentikan pada Kamis (11/10/2018) besok empat orang anggota Tim SAR Tangguh (SAR mandiri bentukan warga) Ponorogo masih akan bertahan di Palu https://t.co/dxwvmljVsb,-6,negative
Melaka sumbang RM100 000 bantu mangsa gempa di Palu https://t.co/IYZmJ21tFl https://t.co/klcZywqhBR,-1,negative
Penyerahan bantuan dari Pramuka Sidoarjo ke Kwarda Jatim untuk korban Tsunami dan Gempa di Palu Sulawesi Tengah Rabu (10/10/2018). brigade_penolong_1315 . #Repost https://t.co/NSCB9JGsfz,-7,negative
Itu video tentang adanya dugaan upacara-upacara yg berbau syirik yg dilakukan di Palu sebelum gempa&amp;tsunami. Ngepost video itu seakan2 bilang makanya jangan kayak gitu diazab kan . Emang bangsat,-14,negative
@vinamirdiani @ajengrizkiy Bali &amp; Lombok gempa dibilang azab karna banyak spot zina. Palu &amp; Donggala gempa tsunami dibilang azab karna perzinahan juga. Annual meeting IMF &amp; WB dibilang ga penting buang2 duit mending buat korban bencana (pdhl abis dikatain kena azab). lalu al Fatekah.,-16,negative
Ya Allah ampunilah dosa saudara saudara seiman hamba yang terkena musibah gempa dan tsunami di sulawesi palu Indonesia tabahkan lah hati mereka menghadapi cobaan yang engkau berikan...dan kuatkanlah iman mereka....Amin ya robbal Alamin,-20,negative
Mari kita bantu saudara-saudara kita di Palu. Sekecil apapun bantuan yang kita berikan sangat berarti untuk mereka yang menjadi korban gempa dan tsunami di sana. #2019JokowiKyaiMaruf,-12,negative
Manado https://t.co/Yy9njiZJTh - Republik Beat Indonesia cabang Manado menggelar aksi penggalangan dana untuk bencana gempa bumi dan tsunami yang menimpa Palu Donggala dan sekitarnya. Aksi ini digelar di... https://t.co/jCYiRyIsBE,-3,negative
@RBTHIndonesia @PutinRF_Eng @PutinRF_Eng terima kasih atas bantuan bagi saudara saudara kami yang mengalami gempa dan tsunami palu God Bless You!!,-4,negative
Meski tempat tinggal porak-poranda akibat gempa dan tsunami sejumlah warga Palu Sulawesi Tengah tetap bergotong-royong memberi bantuan untuk sesama korban. Semangat membantu sesama inilah yang membuat saudara-saudara kita mampu kembali bangkit. #iNews https://t.co/upqxXOzWEh,-11,negative
10 Oktober 2018 | Sesudah sidang media pasca mesyuarat Majlis Mesyuarat Kerajaan (MMK) saya telah melancarkan Tabung Misi Kemanusiaan Palu Sulawesi Tengah bagi membantu mangsa gempa bumi dan tsunami yang berlaku baru-baru ini. https://t.co/Ra6mXk8XOf,-7,negative
@Yogi95846316 @rockygerung Di saat seluruh negeri berduka dan sedang fokus menangani bencana gempa di Palu tega teganya menebar hoax... Sudah gitu mencari alibi buat pembenaran... Picik sekali...,-16,negative
@_haye_ @jokowi Ntar lagi NKRI bangkrut... Sirna ilang kerta ning bhumi seperti fenomena likuifikasi amblesnya tanah saat gempa di Palu hehe... https://t.co/bNvhXSfwXv,-5,negative
Perdana Menteri Timor Leste Taur Matan Ruak menyatakan berdasarkan keputusan Dewan Menteri Timor-Leste bekas provinsi RI itu turut mendonasikan US$ 750.000 (Rp 11 4 miliar). Bantuan itu ditunjukan untuk korban gempa Palu. https://t.co/o619oGlbSr,-6,negative
Rabu 10-10-2018 - Giat Silkulir warga (Door To Door) untuk Donasi Bantuan Bencana Gempa Tsunami Donggala Palu yang dilaksanan oleh Karang Taruna Greates Generation RW. 05 Kel. Paledang Kec. Lengkong Kota Bandung https://t.co/LMFDYkfd63,-5,negative
Yuk! Gerakan hati kita untuk membantu anak-anak korban gempa di Palu agar tidak mengalami trauma. https://t.co/BedRzDQdfn #klikDOKTER,-8,negative
Vladimir Putin Kirim 24 Ton Bantuan Korban Gempa-Tsunami di Sulteng: Balikpapan https://t.co/0kP35EQbdC Bantuan dari negara sahabat kembali datang untuk para korban bencana gempa-tsunami di Palu Donggala Sigi dan wilayah lain di Sulawesi Tengah. https://t.co/IlSqtaC3DL,-18,negative
NETZ ID - Polisi Tangkap 101 Penjarah di Palu Semuanya Napi yang Melarikan Diri Saat Gempa https://t.co/6Zfwp2Q3Jx,-5,negative
@Il_luppo ...anggaran penanganan bencana bantuan LN juga datang koordinasi penanganan bencana jalan terus. OOT nih. Yg gw sesalkan skrg soal penanganan gempa Palu adalah tololnya Pemprov/Pemkot. Om gw korban gempa Palu dia bilang payah Pemprovnya. Skrg dia ngungsi ke Makasar.,-13,negative
@Masriah82636716 @Fahrihamzah @fadlizon @Dahnilanzar @aminrais Ini saja sdh Pemborosan Blm yg lainny lg. Pa lg Skrang Musibah Gempa &amp; Tsunami di Palu Donggala. Hanya IQ jongkok yg mau Dibodohi. https://t.co/LEC6OUaneW,-4,negative
Kapolda Kalteng Irjen Pol Drs Anang Revandoko dekat dengan anak-anak dan penyayang anak-anak. Ini salah satu kegiatan Kapolda bersama Tim Kemanusian Polda Kalteng saat berada di Palu Sulteng. Kapolda bermain dan menghibur anak-anak yang terkena musibah gempa dan stunami. https://t.co/0b5gxOxLuG,-1,negative
RT PDI_Perjuangan Relawan Badan Penanggulangan Bencana (Baguna) DPD_PDIP_Jateng bergabung dengan Basarnas BNPB PMI TNI dan Polri terus menerus membantu penanganan korban gempa di Kota Palu Sulteng. #PDIPerjuangan #Baguna https://t.co/HCKef4zNtx ,-3,negative
Relawan Badan Penanggulangan Bencana (Baguna) @DPD_PDIP_Jateng bergabung dengan Basarnas BNPB PMI TNI dan Polri terus menerus membantu penanganan korban gempa di Kota Palu Sulteng. #PDIPerjuangan #Baguna https://t.co/h3aTHqm2Cp,-3,negative
Kesaksian Para Hafidz Tunanetra Bisa Selamat dari Gempa dan Tsunami Palu https://t.co/2UCFt0hhi8,-3,negative
@AhsanIndrawan @parizs Lombok sedang tahap pembangunan kembali. teman sy yg kerja di PU ditugaskan disana untuk membangun kembali lombok sehabis gempa. utk Palu ini bukan main sulap bro. dalam sekejap bisa langsung pulih. bangun rumah itu gak butuh wkt semalam. aceh saja butuh waktu pasca tsunami,-7,negative
Misi Bantuan Kecemasan Mangsa Gempa Bumi dan Tsunami Sulawesi Tengah telah bertolak ke Palu hari ini 10 Oktober 2018 bagi membantu ringankan keadaan mereka yang memerlukan. Sumbangan masih diperlukan teruskan sokongan https://t.co/pgjNwsCB3E https://t.co/dSoSoe1akq,-9,negative
TNI Bantu Air Bersih di Pengungsian Korban Gempa Palu https://t.co/6ykNHcqvId lewat @KORANBOGOR.com,-3,negative
Pasca Gempa Tsunami Palu-Donggala Ada Surat Terbuka Untuk KPU &amp; Bawaslu di Jakarta https://t.co/uqeXtZ2kUE lewat @MaduraExpose.com,-3,negative
Kolom komen berita Gempa Palu Akibat Azab LGBT : A: Lah berarti tsunami Aceh krn azab dong? B: Itu efek azab daerah lain C: Msh ada GAM disana makanya Alloh murka kirim tsunami D: Hai C sy wrg Aceh. Disini damai kalo ngomong tlg ksh fakta Akhirnya sesama muslim berantem ,-16,negative
Ketua Umum PP GP Ansor Yaqut Cholil Qoumas memberikan apresiasi kepada keluarga Hermawan anggota Banser yang meninggal dunia saat bertugas menjadi relawan musibah gempa di Palu Sulawesi Tengah beberapa waktu lalu. @GPAnsor_Satu @sorban_travel https://t.co/a72JxCAeZx,-13,negative
Pasca Gempa Tsunami Palu-Donggala Ada Surat Terbuka Untuk KPU &amp; Bawaslu di Jakarta https://t.co/sYZal68uTK lewat @POLICE LINE,-3,negative
Assalamaualaikum JAFRA Lovers setelah bencana alam yang menimpa Lombok beberapa waktu lalu tsunami dan gempa bumi kembali menerjang dan kali ini Palu dan Donggala. . Mari kita bantu https://t.co/lGpMKJEDZB,-9,negative
Peduli dengan hati berbagi dengan keikhlasan... Mari berbagi untuk saudara kita yang sedang berduka dilanda bencana Gempa &amp; Tsunami Lombok Palu Sigi dan Donggala Klik https://t.co/etXZqj9uZv #PasanMande #ShareDanBagikan https://t.co/vycPuWxFLz,-11,negative
Hadiah Umroh Diberikan Kepada Keluarga Anggota Banser Relawan Gempa Palu yang Meninggal https://t.co/o7AaLxUiPB https://t.co/fMjmmM5xjP,-5,negative
Sebagai bagian dari masyarakat Indonesia dengan dorongan semangat Drive For A Better Life Wuling Motors menyalurkan donasi untuk korban gempa bumi dan tsunami di Palu Donggala melalui posko bantuan di Markas Pusat PMI Jakarta. https://t.co/JaLUWbjn5a,-1,negative
Pemkot Kendari Siap Menampung Warga Korban Gempa Palu https://t.co/VnV1ZDpFB6 lewat @ZonaSultra.com,-3,negative
Pemerintah Kabupaten Gowa terus berupaya dalam membantu korban bencana gempa tsunami yang menimpa Palu dan Donggala Sulawesi Tengah dan daerah lainnya. https://t.co/bPoAkZEuwc,-7,negative
Hadiah Umroh Diberikan Kepada Keluarga Anggota Banser Relawan Gempa Palu yang Meninggal https://t.co/J6VteoKVcv via @Tribunnews,-5,negative
NEWSVIDEO : KN Kunyit Bawa 280 Ton Bantuan Untuk Korban Gempa Palu dan Donggala https://t.co/WQ4Q6xsrd1 lewat @banjarmasinpost,-3,negative
SEBUAH UTAS Hingga Rabu (10/10) tercatat 2045 orang meninggal dan ribuan orang masih hilang akibat gempa dan tsunami di Palu dan Donggala. Utas ini adalah setitik usaha untuk mengingat bahwa mereka bukan hanya angka. https://t.co/UxdcN0e9CN https://t.co/xjD2ejUv5I,-12,negative
PP GP Ansor Berangkatkan Umrah Keluarga Banser Relawan Gempa Palu yang Meninggal | TIMES Indonesia https://t.co/mBenMK8jXD,-5,negative
Terimakasih utk semua sadara kami relawan yg telah membantu para korban bencana gempa tsunami palu donggala khusunya @PemKabTangerang @GlobalRescue &amp; dokter2 relawan semoga menjadi ladang ibadah kita semua amin,-9,negative
Ketua DPD Wahdah Islamiyah Luwu menyerahkan sembako kepada korban bencana gempa dan tsunami palu. https://t.co/oB4Ow9nxwc,-5,negative
Ternyata Ada Teka-teki yang Tersisa dari Bencana Gempa-Tsunami di Palu dan Donggala https://t.co/xn4vZCVvlv,-8,negative
Pemberangkatan Bantuan dari INTI utk korban Gempa Palu yg bekerja sama dg pihak TNI - POLRI . Pagi ini personil INTI dari Jakarta dan Makasar dg membawa +/- 8 ton bantuan beserta 20 bh Genset ini adalah pemberangkatan bantuan yg kedua kali.,-10,negative
Warga korban gempa Sulteng yang dievakuasi dengan pesawat Hercules TNI AU dari Palu mendapat layanan kesehatan dari #SatgasudTNIAU saat tiba di Lanud Dhomber Balikpapan. via @_TNIAU #KogasgabpadTNI #SultengBangkit #ElshintaEdisiSore https://t.co/PqlHZpQzra,-8,negative
Daftar korban gempa bumi Palu Donggala yg dirawat di RSUP Wahidin Sudirohusodo Makassar.. silahkan cek di https://t.co/qTFi20iUzM cc @Daeng_Info @jalanankota https://t.co/IK3A19Ye7T,-1,negative
PA 212 menurunkan berapa ribu orang ya di Palu dan Lombok untuk menolong korban gempa? https://t.co/JoWAmfhv7p,-1,negative
Polres Sukabumi Kota Berikan Bantuan Kepada Warganya yang tertimpa bencana Gempa palu. https://t.co/FvKewmYSXw,-10,negative
Gempa Palu Beredar Video Relawan BPBD Diusir dari Halaman Bappeda Sulteng: https://t.co/5JxiSYk285 via @YouTube,-3,negative
Cerita Jerry A.M yang selamat dari likuifaksi di Petobo setelah gempa Donggala dan Palu pada 28 September 2018 lalu. https://t.co/17602grPFO,-2,negative
Cerita Jerry A.M yang selamat dari likuifaksi di Petobo setelah gempa Donggala dan Palu pada 28 September 2018 lalu. https://t.co/DZQ5UCsSAE,-2,negative
Cerita Jerry A.M yang selamat dari likuifaksi di Petobo setelah gempa Donggala dan Palu pada 28 September 2018 lalu. https://t.co/x9ulT8h50s,-2,negative
Alhamdulillah... Semoga berkah... PP GP Ansor Berangkatkan Umrah Keluarga Banser Relawan Gempa Palu yang Meninggal | TIMES Indonesia https://t.co/dj3SquCl69,-5,negative
Kalau tidak di tolak nanti yang kena musibah yang ngak ngelakuin kena imbas nya Tsunami dan gempa Palu belum cukuplah sebagai pelajaran . .,-33,negative
@null Update: Jumlah Korban Gempa dan Tsunami Palu-Donggala Data terkini korban jiwa d https://t.co/IFtUuTv5hQ,-1,negative
@dyvtasailendra @Saridee2 @bajigurceleng @rockygerung @saridede saya berharap waktu itu setelah mentahan data gerak palu ada yg hasilnya yaitu mengkhawatirkan pemerintah lakukan simulasi kpd rakyatnya u/menyelamatkan diri dari gempa n tsunami.,-6,negative
Saya sempat bicara di Forum Investasi Makassar F8: 🇦🇺 byk nyumbang di sektor pendidikan pertambangan peternakan. Kota ini tumbuh pesat &amp; ada ambisi besar. Kita juga hormati korban gempa Palu &amp; sekitarnya: byk korban berasal dari Makassar juga. https://t.co/fMFHUeYHvU,-4,negative
1. Matahari di langit nampak kembar 4 (empat): Fenomena fisika cahaya terkait dng matahari kembar ini tentu bisa dimengerti. Sama dng likuifaksi tanah akibat getaran gempa di Palu beberapa hari y.l. Semua atas perintah Allah SWT.,-14,negative
Dukungan PSG untuk Korban Gempa dan Tsunami Palu Paris Saint Germain turut membe https://t.co/mWrkqMDLzj,-3,negative
#Repost yukkajianbanjarmasin (get_repost) ・・・ Kisah diatas adalah Salah satu Dari kisah kisah yg tersisa dari gempa Dan tsunami yang mengguncang palu Sigi https://t.co/7kGKg55v99,-2,negative
Orang Kaili atau penduduk asli di lembah Palu sebelumnya telah mengenal istilah-istilah terkait bencana alam dengan penyebutan dalam bahasa Kaili. Lingu yang berarti gempa Bombatalu https://t.co/kwfDtwv69a,-5,negative
Tim relawan Baguna Jawa Tengah melukan evakuasi korban bencana gempa bumi dan tsunami di dermaga TNI AL Palu Sulawesi Tengah. #PDIPerjuangan #PDIPp3duli https://t.co/tKmpq4p64T,-5,negative
@Hanjar08 @Ronnie_Rusli @aditnamasaya Tanggapan saya berita itu merupakan pembodohan public pengingkaran dari lesu &amp; suramnya ekonomi yg tercermin dr lemahnya daya beli masyarakat secara luas. Rezim ini memang lah sgt menyedihkan. Bencana besar gempa lombok tsunami palu tak mau declare bencana nasional. Itu ..,-10,negative
Doakan Keselamatan Bangsa dan Negara Melalui Istigosah dan Doa Bersama: Mataram Gempa bumi dan Tsunami baik yang terjadi di Provinsi Nusa Tenggara Barat (NTB) maupun di Kota Palu Kabupaten Donggala dan Kabupaten Sigi Provinsi Sulawesi Tengah menyisakan kesedihan dan https://t.co/JmBcdRRV8n,-5,negative
Hingga batas tenggat akhir waktu evakuasi korban gempa dan tsunami di Palu dan Donggala tim SAR gabungan masih terus melakukan pencarian terhadap ribuan korban yang masih tertimbun di Desa Petobo Palu Sulawesi Tengah. #SultengBangkit https://t.co/3NmV4Gtghs,-21,negative
Alhamdulillah bantuan dari temen-temen Bobotoh se Kota Cilegon dan Masyarakat kota Cilegon untuk korban gempa dan tsunami di Palu dan Dongala sudah kami titipkan ke Yayasan Al Hanif Cilegon. Semoga bermanfaat. #PersibJuara https://t.co/iiFob3zeTi,-3,negative
I liked a @YouTube video https://t.co/kHQDjAp46I Mata Najwa - Bangsa Sadar Bencana: Atlet Paralayang Selamat dari Gempa Palu (Part 2),-3,negative
@liem_id Inilah yg didapat dr menghabiskan 850M kalau saja buat korban Gempa Lombok dan Tsunami Palu pasti nya Rakyat sendiri yg akan puji mereka bukan dr Rentenir International.,-10,negative
Pasca Gempa Palu Airnav Indonesia berpacu dengan waktu untuk memulihkan sistem navigasi penerbangan. Sehingga dalam waktu 18 jam sistem komunikasi Airnav bisa berfungsi kembali sehingga pesawat bisa melakukan pendaratan dan tinggal landas. Ini... https://t.co/4wa937WZVZ,-12,negative
Jumlah korban meninggal dunia akibat bencana gempa bumi dan tsunami di Sulawesi Tengah per 10 Oktober k.13.00 WIB meningkat menjadi 2045 orang. Terdiri dari Palu: 1.636 org Donggala: 171 org Sigi 222 org Parigi Moutong 15 org &amp;Pasang Kayu Sulawesi Barat 1 org. #BeritaSONORA https://t.co/3kG8o1CYkP,-15,negative
Warga Kelurahan Duyu Kecamatan Tatanga Palu yang terdampak gempa mengungkapkan bahwa pemerintah setempat telah menyalurkan bantuan berupa sembako akan tetapi sembako yang diterima oleh satu kepala keluarga sangat sedikit. https://t.co/iydxwV6oSI,-7,negative
Warga Kelurahan Duyu Kecamatan Tatanga Palu yang terdampak gempa mengungkapkan bahwa pemerintah setempat telah menyalurkan bantuan berupa sembako akan tetapi sembako yang diterima oleh satu kepala keluarga sangat sedikit. https://t.co/hrdojbgpOS,-7,negative
Kisah Korban Gempa Palu; Kami Nasrani Boleh Minta Bantuan Disini? | SwaMedium https://t.co/hRSZuKLlfl lewat @swamedium,-3,negative
Doggy House Records mengajak Anda berdonasi dalam #DoggiesBerbagi yang diselenggarakan pada: Rabu 10 Oktober 2018 | 19.00 - 24.00 WIB @JustPlayOn Jl Prawirotaman No.3 Yogyakarta Donasi untuk gempa &amp; tsunami Donggala - Palu minimal Rp 20.000 https://t.co/kDRH00tWHE,-5,negative
Ini alasan mengapa bantuan AS untuk korban gempa Palu disebut sangat kecil https://t.co/DlIRztmXBa,-5,negative
KERING SUDAH AIR MATA Kering sudah air mata kerana hampir dua minggu menangis memikirkan kehidupan dan nasib yang menimpa. Itu luahan mangsa gempa bumi dan pencairan tanah di Balaroa Palu Indonesia. #edisi7 #edisi7ntv7 #ntv7 #hulurkanbantuan... https://t.co/sUnHjrlvNN,-13,negative
Ini alasan mengapa bantuan AS untuk korban gempa Palu disebut sangat kecil https://t.co/aIHSwPBozL https://t.co/t8XoqrDEoT,-5,negative
Ketika saudara-saudaara kita di Palu Sigi dan Donggala Sulawesi Tengah masih terus butuh perhatian kita tidak boleh melupakan saudara kita di Lombok yang beberapa bulan lalu mengalami Gempa yang membuat mereka hingga... https://t.co/ZnOARSve9X,-11,negative
Sesuai dengan harapan saya sebelumnya. Sebaiknya lokasi itu memang di hujaukan. Karena hanya alam yang mampu menyeimbangkan. https://t.co/obbBioiGMK: BNPB: Lokasi Gempa Likuefaksi di Kota Palu Akan Jadi Ruang Terbuka Hijau. https://t.co/UsQwD7GSTl melalui @GoogleNews,-9,negative
Siapa yg tau adakah Masjid dan adakah gereja yg bertahan dari terjangan gempa dan tsunami Palu/Sigi/Donggala? Hanya pinhin tau.,-3,negative
Jeritan Palu Donggala Sigi dan Sekitarnya Kemarin (9/10/2018) gempa kembali mengguncang Palu. Namun getaran kemarin tidak berpotensi tsunami. BANTU KAMI MEMBANTU MEREKA #amanpalestin #kamipeduli #gempapalu #gempadonggala #gempasigi https://t.co/WgbWd8ngvO,-3,negative
SAAT EVAKUASI RELAWAN KEMBALI MENEMUKAN 5 JENAZAH DI PETOBO KOTA PALU Relawan Rumah Zakat terus melakukan pencarian dan evakuasi korban akibat gempa dan tsunami di Sulawesi Tengah yang https://t.co/VXGK0ydDcx,-7,negative
Selamat Siang Sahabat Persada Bersama ini Kami informasikan bahwa Penyerahan Bantuan Kemanusiaan dari Sahabat Persada untuk Korban Gempa Palu &amp; sekitarnya telah Kami serahkan kepada Kepala Bagian Umum Pemerintah Kota Malang (Selasa 9/10). Radar Malang 10 Oktober 2018 hal. 4 https://t.co/7OcdTl1n6s,-3,negative
@Gerindra @BangPino_ Mau tanya ke relawan.. korban gempa pada tau ga? Di bali kita lagi menjamu IMF dikasih souvenir pula.. itu yg ngelenggarain pemerintah indonesia bukan ya? Kaya ga peduli perasaan rakyat palu,-10,negative
